# same-irrep resonance integrals <phi_left | F(k) | phi_right>
# of the converged crystal Fock operator; energies on the aligned scale
# mix = sin^2(theta) with tan(2 theta) = 2|H| / dE (two-level mixing fraction)
# columns: irrep  left_level  E_left(eV)  right_level  E_right(eV)  |H|(eV)  dE(eV)  mix(%)

# k point GM (0,0,0)
GM1+   Sc 4s GM1+            -0.780  F 2s GM1+            -22.331    13.095   21.551   18.23
GM3+   Sc 3d GM3+             2.104  F 2s GM3+            -21.890    11.502   23.994   13.91
GM3+   Sc 4d GM3+            10.983  F 2s GM3+            -21.890     9.208   32.872    6.38
GM4-   Sc 3p GM4-           -27.434  F 2p GM4-#1           -3.998     6.338   23.436    6.02
GM4-   Sc 3p GM4-           -27.434  F 3p GM4-#1           31.530    11.495   58.965    3.42
GM1+   Sc 3s GM1+           -50.381  F 2s GM1+            -22.331     5.262   28.050    3.19
GM3+   Sc 4d GM3+            10.983  F 3d GM3+#1           54.240     5.448   43.257    1.51
GM4-   Sc 3p GM4-           -27.434  F 3p GM4-#2           49.975     9.371   77.410    1.40
GM5+   Sc 4d GM5+            21.326  F 3d GM5+#2           73.030     4.217   51.704    0.65
GM3+   Sc 3d GM3+             2.104  F 3d GM3+#1           54.240     4.004   52.135    0.58
GM3+   Sc 3d GM3+             2.104  F 3s GM3+             73.213     5.054   71.109    0.50
GM3+   Sc 3d GM3+             2.104  F 3d GM3+#2           54.738     3.722   52.634    0.49
GM4-   Sc 3p GM4-           -27.434  F 2p GM4-#2           -2.610     1.551   24.824    0.39
GM1+   Sc 4s GM1+            -0.780  F 3d GM1+             58.182     2.576   58.962    0.19
GM3+   Sc 4d GM3+            10.983  F 3d GM3+#2           54.738     1.878   43.755    0.18
GM1+   Sc 3s GM1+           -50.381  F 3d GM1+             58.182     4.353  108.562    0.16
GM5+   Sc 3d GM5+             3.353  F 3d GM5+#2           73.030     2.453   69.677    0.12
GM3+   Sc 4d GM3+            10.983  F 3s GM3+             73.213     2.132   62.231    0.12
GM5+   Sc 4d GM5+            21.326  F 3d GM5+#1           56.831     0.419   35.505    0.01
GM5+   Sc 3d GM5+             3.353  F 3d GM5+#1           56.831     0.057   53.479    0.00

# k point R (1/2,1/2,1/2)
R4-    Sc 3p R4-            -27.448  F 2s R4-             -22.025     4.295    5.423   23.31
R3+    Sc 3d R3+              3.564  F 2p R3+              -3.115     4.676    6.679   20.94
R4-    Sc 4p R4-              5.555  F 2s R4-             -22.025    14.698   27.580   15.79
R5+    Sc 3d R5+              2.341  F 2p R5+              -3.571     2.720    5.912   13.21
R1+    Sc 4s R1+              6.697  F 2p R1+              -4.782     3.832   11.478    8.42
R1+    Sc 3s R1+            -50.378  F 2p R1+              -4.782    12.483   45.597    6.14
R4-    Sc 4p R4-              5.555  F 3s R4-              47.554     8.160   41.999    3.39
R4-    Sc 3p R4-            -27.448  F 3s R4-              47.554     9.569   75.001    1.55
R4-    Sc 3p R4-            -27.448  F 3d R4-              57.092     5.755   84.540    0.46
R4-    Sc 4p R4-              5.555  F 3d R4-              57.092     2.714   51.537    0.28
R3+    Sc 3d R3+              3.564  F 3p R3+              74.680     2.804   71.116    0.15
R5+    Sc 3d R5+              2.341  F 3p R5+              42.732     1.310   40.391    0.10
R5+    Sc 4d R5+              9.073  F 2p R5+              -3.571     0.380   12.644    0.09
R5+    Sc 4d R5+              9.073  F 3p R5+              42.732     0.008   33.660    0.00

# k point M (1/2,1/2,0)
M1+    Sc 5s M1+             27.458  F 3p M1+              23.071    17.107    4.387   43.64
M5-    Sc 3p M5-            -27.456  F 2s M5-             -22.031     4.305    5.425   23.35
M2+    Sc 3d M2+              3.555  F 2p M2+              -3.120     4.679    6.674   20.97
M1+    Sc 3d M1+              1.936  F 2s M1+             -22.031    12.708   23.967   15.70
M5-    Sc 4p M5-              3.954  F 2s M5-             -22.031    12.568   25.985   14.06
