# same-irrep resonance integrals <phi_left | F(k) | phi_right>
# of the converged crystal Fock operator; energies on the aligned scale
# mix = sin^2(theta) with tan(2 theta) = 2|H| / dE (two-level mixing fraction)
# columns: irrep  left_level  E_left(eV)  right_level  E_right(eV)  |H|(eV)  dE(eV)  mix(%)

# k point GM (0,0,0)
GM1+   Sr 6s GM1+           390.908  O 3s GM1+            235.086   165.541  155.822   28.71
GM1+   Sr 5s GM1+             4.252  O 2s GM1+             -9.151     6.639   13.403   14.48
GM3+   Ti 3d GM3+             7.518  O 2s GM3+             -7.972     5.701   15.490    9.73
GM4-   Ti 4p GM4-            14.608  O 2p GM4-#1            5.377     3.102    9.230    8.50
GM5+   Ti 4d GM5+            30.768  O 3d GM5+#1           66.700     7.246   35.932    3.63
GM4-   Ti 4p GM4-            14.608  O 3p GM4-#1           51.508     7.371   36.900    3.57
GM4-   Ti 3p GM4-           -25.225  O 2p GM4-#1            5.377     5.640   30.602    3.09
GM1+   Ti 5s GM1+            72.323  O 3s GM1+            235.086    28.040  162.763    2.73
GM5+   Sr 4d GM5+            14.792  O 3d GM5+#1           66.700     8.923   51.907    2.72
GM1+   Ti 3s GM1+           -50.519  O 2s GM1+             -9.151     7.097   41.368    2.71
GM1+   Sr 4s GM1+           -26.912  O 2s GM1+             -9.151     2.125   17.760    1.37
GM3+   Ti 4d GM3+            21.278  O 2s GM3+             -7.972     3.394   29.250    1.29
GM3+   Ti 4d GM3+            21.278  O 3s GM3+            134.280    13.054  113.002    1.28
GM4-   Ti 3p GM4-           -25.225  O 2p GM4-#2            7.589     3.532   32.814    1.12
GM4-   Ti 3p GM4-           -25.225  O 3p GM4-#2           70.329     9.885   95.554    1.04
GM1+   Ti 4s GM1+            21.850  O 2s GM1+             -9.151     3.056   31.002    0.94
GM4-   Sr 4p GM4-            -8.664  O 2p GM4-#1            5.377     1.300   14.041    0.84
GM4-   Ti 3p GM4-           -25.225  O 3p GM4-#1           51.508     6.904   76.733    0.79
GM4-   Ti 4p GM4-            14.608  O 3p GM4-#2           70.329     4.926   55.721    0.76
GM5+   Ti 4d GM5+            30.768  O 3d GM5+#2           83.182     4.447   52.415    0.70
GM3+   Ti 3d GM3+             7.518  O 3d GM3+             63.455     4.289   55.937    0.58
GM5+   Ti 3d GM5+             9.146  O 3d GM5+#2           83.182     4.678   74.036    0.39
GM4-   Ti 4p GM4-            14.608  O 2p GM4-#2            7.589     0.425    7.019    0.36
GM3+   Ti 3d GM3+             7.518  O 3s GM3+            134.280     6.903  126.762    0.29
GM3+   Ti 4d GM3+            21.278  O 3d GM3+             63.455     2.111   42.176    0.25
GM1+   Ti 4s GM1+            21.850  O 3s GM1+            235.086    10.375  213.236    0.24
GM4-   Sr 4p GM4-            -8.664  O 2p GM4-#2            7.589     0.726   16.252    0.20
GM4-   Sr 4p GM4-            -8.664  O 3p GM4-#1           51.508     2.354   60.171    0.15
GM3+   Sr 4d GM3+            11.745  O 3d GM3+             63.455     1.878   51.710    0.13
GM5+   Sr 4d GM5+            14.792  O 3d GM5+#2           83.182     2.376   68.390    0.12
GM1+   Sr 5s GM1+             4.252  O 3s GM1+            235.086     7.353  230.834    0.10
GM3+   Sr 4d GM3+            11.745  O 2s GM3+             -7.972     0.484   19.717    0.06
GM1+   Ti 5s GM1+            72.323  O 2s GM1+             -9.151     1.361   81.474    0.03
GM5+   Ti 3d GM5+             9.146  O 3d GM5+#1           66.700     0.720   57.554    0.02
GM4-   Sr 4p GM4-            -8.664  O 3p GM4-#2           70.329     0.891   78.993    0.01
GM1+   Sr 4s GM1+           -26.912  O 3s GM1+            235.086     1.374  261.997    0.00
GM1+   Ti 3s GM1+           -50.519  O 3s GM1+            235.086     1.224  285.605    0.00
GM1+   Sr 6s GM1+           390.908  O 2s GM1+             -9.151     0.753  400.059    0.00
GM3+   Sr 4d GM3+            11.745  O 3s GM3+            134.280     0.014  122.535    0.00

# k point R (1/2,1/2,1/2)
R3-    Ti 3d R3-              9.631  O 2p R3-               7.599     1.664    2.033   23.94
R4-    Sr 5p R4-             15.240  O 2p R4-               5.355     3.338    9.885    8.56
