# same-irrep resonance integrals <phi_left | F(k) | phi_right>
# of the converged crystal Fock operator; energies on the aligned scale
# mix = sin^2(theta) with tan(2 theta) = 2|H| / dE (two-level mixing fraction)
# columns: irrep  left_level  E_left(eV)  right_level  E_right(eV)  |H|(eV)  dE(eV)  mix(%)

# k point A (1/2,1/2,1/2)
A3     Ba 7s A3              46.499  O 3d A3#1             62.394    14.298   15.894   25.71
A5     Ba 6p A5              39.842  O 3d A5#1             55.375     9.863   15.532   19.07
A3     Ba 7s A3              46.499  O 3d A3#2             86.402    22.446   39.903   16.78
A5     Ba 6p A5              39.842  O 3p A5#1             47.339     3.886    7.497   15.29
A1     Ti 3d A1               9.818  O 2p A1#2              7.026     1.428    2.792   15.05
A2     Ti 3d A2               9.903  O 2p A2                7.154     1.390    2.749   14.85
A5     Ba 6p A5              39.842  O 3p A5#2             72.357    16.427   32.514   14.83
A5     Ba 6p A5              39.842  O 3d A5#3             62.686     8.046   22.843    9.12
A3     Ti 4d A3              16.853  O 2p A3                5.248     3.951   11.604    8.67
A5     Ti 4d A5              17.133  O 2p A5#1              5.381     3.854   11.752    8.19
A5     Ba 5d A5#2            20.240  O 3d A5#4             64.797    13.374   44.557    7.13
A1     Ba 5d A1#1             8.764  O 2s A1               -8.575     5.129   17.339    6.97
A1     Ti 4s A1              11.977  O 2p A1#1              4.372     2.184    7.605    6.64
A5     Ba 5d A5#1             8.891  O 2s A5               -8.604     4.989   17.495    6.57
A1     Ti 3s A1             -50.284  O 2p A1#1              4.372    14.322   54.656    5.71
A5     Ti 4d A5              17.133  O 3p A5#1             47.339     7.258   30.206    4.93
A5     Ti 3p A5             -24.983  O 2s A5               -8.604     3.790   16.379    4.62
A1     Ti 3p A1             -24.995  O 2s A1               -8.575     3.783   16.420    4.59
A3     Ba 7s A3              46.499  O 3p A3               73.735     5.531   27.236    3.67
A5     Ba 6p A5              39.842  O 3d A5#2             61.054     4.253   21.212    3.59
A5     Ba 5p A5              -3.966  O 2p A5#1              5.381     1.677    9.347    2.94
A1     Ba 5d A1#2            20.820  O 3d A1               60.087     6.764   39.267    2.73
A3     Ba 5p A3              -3.829  O 2p A3                5.248     1.516    9.078    2.58
A3     Ti 3d A3               9.088  O 2p A3                5.248     0.486    3.839    1.53
A4     Ba 5d A4              16.931  O 3d A4               61.405     5.354   44.474    1.39
A3     Ba 6s A3              27.023  O 3p A3               73.735     5.388   46.712    1.28
A3     Ba 6s A3              27.023  O 3d A3#1             62.394     3.859   35.371    1.15
A1     Ba 5d A1#1             8.764  O 2p A1#2              7.026     0.184    1.738    1.08
A5     Ba 5d A5#2            20.240  O 2s A5               -8.604     3.033   28.844    1.07
A5     Ti 4d A5              17.133  O 3d A5#1             55.375     3.978   38.242    1.05
A5     Ti 3d A5               9.151  O 2p A5#1              5.381     0.385    3.770    1.01
A1     Ba 5d A1#2            20.820  O 2s A1               -8.575     2.875   29.395    0.93
A3     Ba 5d A3              16.451  O 3d A3#1             62.394     4.483   45.942    0.93
A1     Ti 3p A1             -24.995  O 2p A1#2              7.026     2.898   32.022    0.80
A1     Ti 3d A1               9.818  O 2s A1               -8.575     1.614   18.393    0.75
