Space group: P4mm (#99)
Available high-symmetry q-points:
  A        [0.5, 0.5, 0.5]
  GM       [0.0, 0.0, 0.0]
  M        [0.5, 0.5, 0.0]
  Z        [0.0, 0.0, 0.5]
  R        [0.0, 0.5, 0.5]
  X        [0.0, 0.5, 0.0]

Selected q-point: GM = [0.0, 0.0, 0.0]

Phonon modes at q = GM
 Mode    Freq (THz)  Irrep
----------------------------------------
    1       -2.9235  GM5(2)
    2       -2.9235  GM5(2)
    3       -0.0000  GM1(1), GM5(2)
    4       -0.0000  GM1(1), GM5(2)
    5       -0.0000  GM1(1), GM5(2)
    6        4.9896  GM1(1)
    7        5.0963  GM5(2)
    8        5.0963  GM5(2)
    9        7.0253  GM1(1)
   10        8.4778  GM2(1)
   11        8.6432  GM5(2)
   12        8.6432  GM5(2)
   13       13.5612  GM5(2)
   14       13.5612  GM5(2)
   15       14.2846  GM1(1)
